"filename", "language", "SCSS", "JavaScript React", "JavaScript", "JSON", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\package-lock.json", "JSON", 0, 0, 0, 27980, 0, 0, 0, 0, 1, 27981
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\package.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 23, 1, 45
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\App.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 0, 3, 51
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\App.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 3, 1, 7
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\api\endpoints.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\images\arrow-2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\images\helmet.svg", "XML", 0, 0, 0, 0, 78, 0, 0, 1, 1, 80
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\images\logo-rocket.svg", "XML", 0, 0, 0, 0, 69, 0, 0, 1, 1, 71
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\axios.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\css-3.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\expressjs.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\heroku-icon.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\html-5.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\javascript.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\nodejs.svg", "XML", 0, 0, 0, 0, 81, 0, 0, 0, 1, 82
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\nodemon.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\react-router.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\react.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\logos\sass.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\black-rocket-only.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\black-rocket.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\blue-asto.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\blue-floating-asto.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\code.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\floating-asto.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\intro-rocket.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\keyboard.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\rocket-only.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\rocket.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\assets\lotties\running-asto.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Animation\Animation.jsx", "JavaScript React", 0, 112, 0, 0, 0, 0, 0, 5, 8, 125
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Animation\animation.scss", "SCSS", 58, 0, 0, 0, 0, 0, 0, 2, 10, 70
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Code\Code.jsx", "JavaScript React", 0, 141, 0, 0, 0, 0, 0, 0, 3, 144
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Code\code.scss", "SCSS", 124, 0, 0, 0, 0, 0, 0, 2, 24, 150
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Develop\Develop.jsx", "JavaScript React", 0, 248, 0, 0, 0, 0, 0, 20, 24, 292
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Develop\develop.scss", "SCSS", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Discover\Discover.jsx", "JavaScript React", 0, 248, 0, 0, 0, 0, 0, 20, 24, 292
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Discover\discover.scss", "SCSS", 14, 0, 0, 0, 0, 0, 0, 8, 4, 26
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Footer\Footer.jsx", "JavaScript React", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Footer\footer.scss", "SCSS", 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Game\Game.jsx", "JavaScript React", 0, 82, 0, 0, 0, 0, 0, 1, 6, 89
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Game\game.scss", "SCSS", 52, 0, 0, 0, 0, 0, 0, 1, 9, 62
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Header\Header.jsx", "JavaScript React", 0, 79, 0, 0, 0, 0, 0, 0, 7, 86
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Header\header.scss", "SCSS", 102, 0, 0, 0, 0, 0, 0, 0, 16, 118
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Intro\Intro.jsx", "JavaScript React", 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Intro\intro.scss", "SCSS", 47, 0, 0, 0, 0, 0, 0, 0, 8, 55
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\LinkItem\LinkItem.jsx", "JavaScript React", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\LinkItem\link-item.scss", "SCSS", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Links\Links.jsx", "JavaScript React", 0, 44, 0, 0, 0, 0, 0, 2, 7, 53
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Links\links.scss", "SCSS", 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Metrics\Metrics.jsx", "JavaScript React", 0, 58, 0, 0, 0, 0, 0, 0, 3, 61
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Metrics\metrics.scss", "SCSS", 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Navigation\Nav.jsx", "JavaScript React", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Navigation\nav.scss", "SCSS", 39, 0, 0, 0, 0, 0, 0, 1, 7, 47
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Preview\Preview.jsx", "JavaScript React", 0, 28, 0, 0, 0, 0, 0, 4, 4, 36
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Preview\preview.scss", "SCSS", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Resources\Resources.jsx", "JavaScript React", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Resources\resources.scss", "SCSS", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\User\User.jsx", "JavaScript React", 0, 5, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\User\user.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Astronaut\Astronaut.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Astronaut\BlueAstronaut.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Astronaut\BlueFloatingAstronaut.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Astronaut\FloatingAstronaut.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\CodeSign\CodeSign.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Keyboard\Keyboard.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Modal\Modal.jsx", "JavaScript React", 0, 65, 0, 0, 0, 0, 0, 0, 5, 70
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Modal\modal.scss", "SCSS", 46, 0, 0, 0, 0, 0, 0, 1, 7, 54
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Rocket\Rocket.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Rocket\RocketIntro.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Rocket\RocketLaunch.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Rocket\RocketLaunchTwo.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Rocket\RocketTwo.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Score\Score.jsx", "JavaScript React", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\Score\score.scss", "SCSS", 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\emmaw\Desktop\BrainStation\-- Capstone\emma-woodlock-capstone\client\src\components\Widgets\SelectSpeed\SelectSpeed.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
